F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S 62583   437     1  0  80   0 - 36491 -      ?        00:00:00 systemd-timesyn
4 S   101   446     1  0  80   0 - 17656 -      ?        00:00:00 systemd-resolve
1 I     0   588     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
4 S     0   660     1  0  80   0 - 27604 -      ?        00:00:00 irqbalance
4 S     0   663     1  0  80   0 - 108581 -     ?        00:00:00 ModemManager
4 S   102   667     1  0  80   0 - 65761 -      ?        00:00:00 rsyslogd
4 S   115   668     1  0  80   0 - 11815 -      ?        00:00:00 avahi-daemon
1 S   115   681   668  0  80   0 - 11770 -      ?        00:00:00 avahi-daemon
4 S   103   683     1  0  80   0 - 12914 -      ?        00:00:01 dbus-daemon
4 S     0   695     1  0  80   0 - 141092 -     ?        00:00:00 NetworkManager
4 S     0   697     1  0  80   0 - 72834 -      ?        00:00:00 accounts-daemon
4 S     0   702     1  0  80   0 -  1139 -      ?        00:00:00 acpid
4 S     0   712     1  0  80   0 - 125899 -     ?        00:00:00 udisksd
4 S     0   713     1  0  80   0 - 17646 -      ?        00:00:00 systemd-logind
4 S     0   717     1  0  80   0 - 43683 -      ?        00:00:00 networkd-dispat
4 S     0   718     1  0  80   0 -  8221 -      ?        00:00:00 cron
4 S     0   719     1  0  80   0 - 11309 -      ?        00:00:00 wpa_supplicant
4 S     0   720     1  0  80   0 - 334547 -     ?        00:00:03 snapd
4 S     0   749     1  0  80   0 - 73242 -      ?        00:00:00 polkitd
4 S     0   761     1  0  80   0 - 47725 -      ?        00:00:00 unattended-upgr
4 S     0   774     1  0  80   0 - 75668 -      ?        00:00:00 gdm3
4 S     0   780   774  0  80   0 - 64002 -      ?        00:00:00 gdm-session-wor
4 S   112   818     1  0  80   0 - 134515 -     ?        00:00:00 whoopsie
1 S   113   822     1  0  80   0 - 14235 -      ?        00:00:00 kerneloops
1 S   113   826     1  0  80   0 - 14235 -      ?        00:00:00 kerneloops
4 S   121   845     1  0  80   0 - 19228 -      ?        00:00:00 systemd
5 S   121   846   845  0  80   0 - 28477 -      ?        00:00:00 (sd-pam)
4 S   121   875   780  0  80   0 - 48592 -      tty1     00:00:00 gdm-wayland-ses
0 S   121   879   845  0  80   0 - 12582 -      ?        00:00:00 dbus-daemon
0 S   121   885   875  0  80   0 - 138836 -     tty1     00:00:00 gnome-session-b
0 S   121   903   885  0  80   0 - 857905 -     tty1     00:00:08 gnome-shell
4 S     0   937     1  0  80   0 - 79740 -      ?        00:00:00 upowerd
0 S   121   978   903  0  80   0 - 130629 -     tty1     00:00:00 Xwayland
0 S   121   985   845  0  80   0 - 87336 -      ?        00:00:00 at-spi-bus-laun
0 S   121   990   985  0  80   0 - 12482 -      ?        00:00:00 dbus-daemon
0 S   121   992   845  0  80   0 - 55191 -      ?        00:00:00 at-spi2-registr
0 S   121   996   845  0  80   0 - 395839 -     ?        00:00:00 pulseaudio
4 S   109   997     1  0  81   1 - 45878 -      ?        00:00:00 rtkit-daemon
0 S   121  1010   903  0  80   0 - 107918 -     tty1     00:00:00 ibus-daemon
0 S   121  1013  1010  0  80   0 - 69328 -      tty1     00:00:00 ibus-dconf
0 S   121  1017     1  0  80   0 - 197004 -     tty1     00:00:00 ibus-x11
0 S   121  1020   845  0  80   0 - 68782 -      ?        00:00:00 ibus-portal
0 S   121  1027   845  0  80   0 - 67033 -      ?        00:00:00 xdg-permission-
